username,listName,movieTitle,releaseDate,dateCreated
bsouthby13,at ipsum,"Bostonians, The",1989-08-08,2023-01-18
pmacswaydeox,curabitur at ipsum,"Wise Guys, The (Les grandes gueules)",2000-12-23,2024-03-29
adyethy,duis at velit,Waking Up in Reno,1998-07-18,2024-01-29
afludgatehm,rutrum neque aenean auctor,Food Matters,1989-06-13,2022-07-02
wwhitehurst6u,blandit lacinia erat vestibulum sed,Rosewater,1996-09-03,2024-02-07
creviehb,aliquet maecenas leo,Notorious,1995-10-07,2024-04-26
challstonei1,vestibulum,Elia Kazan: A Director's Journey,1991-06-06,2022-11-22
hsimoneschi5x,elementum nullam varius,Beethoven's Treasure Tail,1984-01-08,2024-01-18
gkainzpo,dictumst aliquam augue quam,"Honey, I Blew Up the Kid",2015-02-14,2023-08-06
acrossgrovejn,cursus id,"Factory, The",2012-12-10,2022-09-15
llavistege,proin eu mi,If Footmen Tire You What Will Horses Do?,2001-03-26,2023-05-01
hjovici2,at turpis,Hell and Back Again,2012-09-09,2022-02-05
fmanifoldrk,tempus semper est quam pharetra,"Deux mondes, Les",1985-11-22,2023-03-05
mfalla7t,vestibulum aliquet,My Flesh My Blood (Moja krew),2004-03-10,2023-03-19
rlinklu,nunc viverra,"Falcon and the Snowman, The",1984-09-13,2023-07-30
dblaisdellgv,non pretium,Shadow of the Thin Man,2001-02-16,2024-12-03
adunkerly8i,fermentum donec ut mauris eget,Rabbit Test,2014-08-18,2025-08-06
amoldends,duis at velit,Rhyme & Reason,2001-03-17,2024-01-29
chullrn,est risus,All's Faire in Love,1985-12-30,2025-06-04
astairsk,congue diam id ornare imperdiet,Bloody Pit of Horror (Il boia scarlatto) (Virgins for the Hangman),1989-12-02,2022-03-05
cnolleaub2,duis at velit,"Most Dangerous Game, The",2018-03-31,2024-01-29
cglassupcn,est lacinia nisi venenatis,Hamlet Goes Business (Hamlet liikemaailmassa),2010-10-21,2022-09-17
bboddymead9s,a libero nam dui,Ghost Rider: Spirit of Vengeance,2009-01-02,2023-11-15
esilkston5i,facilisi cras non velit,Moment by Moment,1987-02-08,2022-07-27
sgreser8n,aliquet ultrices erat tortor,Two Rabbits (2 Coelhos),1980-05-11,2023-05-15
ufenelon8j,nascetur ridiculus mus,Blank City,1990-02-03,2025-08-25
giowarchd2,nonummy,Jacknife,2004-10-24,2025-03-06
acrosscombecs,faucibus orci luctus et ultrices,"Haunting in Connecticut, The",2016-06-25,2024-09-01
gnairyrb,non quam nec dui,I'll See You in My Dreams,1995-05-29,2023-05-01
lpullff,amet lobortis sapien sapien,"Now You See Him, Now You Don't",2010-11-08,2023-11-10
ndiessll,ut,Me and Morrison (Minä ja Morrison),2002-02-07,2024-05-29
knystrom7a,quam fringilla rhoncus mauris,Regular Guys (Echte Kerle),2010-10-27,2023-08-18
lpenwardenpy,sed justo pellentesque viverra pede,"Flying Swords of Dragon Gate, The (Long men fei jia)",2016-04-01,2025-04-16
hjovici2,at turpis,Pan Tadeusz: The Last Foray in Lithuania (Pan Tadeusz),1994-02-14,2022-02-05
tedelermu,semper porta volutpat quam pede,Fool for Love,1997-06-05,2023-06-26
dbredgeland92,nec sem duis,Apartment 4E ,2015-06-08,2023-07-17
acarer1,non quam nec dui,Eddie Izzard: Force Majeure Live,1987-12-11,2023-05-01
cblackledgeom,tortor quis turpis sed ante,"Last Polka, The",2005-09-23,2024-07-17
eparminterg6,donec ut dolor morbi vel,Billy the Kid,1998-10-15,2023-02-03
bgoskerq7,fusce posuere felis sed lacus,8 1/2 (8½),2016-03-23,2024-04-11
tjorrylf,porttitor lacus at turpis,Sound City,2015-09-06,2023-08-18
lpullff,amet lobortis sapien sapien,Let It Snow,2017-01-14,2023-11-10
rlinklu,nunc viverra,Starbuck,1990-07-09,2023-07-30
ncrown3g,amet justo morbi ut odio,Rise,2018-05-03,2023-06-23
vtriggolfh,aliquet maecenas leo,99 and 44/100% Dead,1983-01-09,2024-04-26
cweatherillkm,dictumst aliquam augue quam,"Five-Year Engagement, The",2002-03-29,2023-08-06
krouff3m,a ipsum integer a,Summer with Monika (Sommaren med Monika),2019-11-22,2022-12-18
ufenelon8j,nascetur ridiculus mus,"Spitfire Grill, The",2004-06-02,2025-08-25
mschermickfg,elementum nullam varius,Going Berserk,2011-08-12,2024-01-18
amadgin5c,velit vivamus,Maniac Cop,1991-12-30,2024-02-18
bgoskerq7,fusce posuere felis sed lacus,Général Idi Amin Dada: A Self Portrait (Général Idi Amin Dada: Autoportrait),1987-10-30,2024-04-11
gneubigin4e,vehicula condimentum curabitur,Schmatta: Rags to Riches to Rags,1981-05-14,2024-09-09
posbournn1,ut volutpat,Pal Joey,2018-08-11,2024-01-06
kganniclifftgo,luctus ultricies eu nibh quisque,"Story of Vernon and Irene Castle, The",1989-01-21,2023-02-11
bsnodaygg,imperdiet nullam orci pede,I Have Found It (Kandukondain Kandukondain),2008-04-27,2024-04-03
gjoslandqv,vehicula condimentum curabitur,Flower & Garnet,1982-05-16,2024-09-09
cisacqgg,et eros vestibulum ac,Bend of the River,1999-03-01,2024-03-31
mgoodspeed3b,faucibus orci luctus et ultrices,Kumaré,1980-05-16,2024-09-01
cglassupcn,est lacinia nisi venenatis,Sound and Fury,2007-03-17,2022-09-17
gfrearsonji,ac leo,Max Manus,1980-04-03,2025-02-25
mgoodspeed3b,faucibus orci luctus et ultrices,Crush,2010-02-06,2024-09-01
avandijk5c,curae mauris viverra,Pollyanna,2012-12-09,2025-06-27
mschermickfg,elementum nullam varius,Police Python 357,1986-03-04,2024-01-18
wphilippet6v,donec ut dolor morbi vel,"Lady of Chance, A",1983-04-23,2023-02-03
myoude87,sem duis aliquam convallis nunc,Attack on the Iron Coast,1986-04-08,2023-06-11
bboddymead9s,a libero nam dui,Disaster L.A.,1981-07-31,2023-11-15
redgerl,mauris,"Brother Sun, Sister Moon (Fratello sole, sorella luna)",2015-03-23,2024-10-03
sgreser8n,aliquet ultrices erat tortor,Final Fantasy VII: Advent Children,1982-10-17,2023-05-15
askipseyp6,nulla,Sound and Fury,1990-07-15,2022-03-09
bgarmstoni4,est lacinia,Rogue Cop,1988-09-14,2023-04-01
